Jahr,Klassenstufe,Klasse,Aufgabe,Punkte
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,WWA,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,FFD,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,JZT,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,KHR,Der Nächste bitte!,6
2024,Schuljahre 9 und 10,DSW,Der Nächste bitte!,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,0
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,0
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,0
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,-2
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,WWA,Baumtouren,6
2024,Schuljahre 9 und 10,KHR,Baumtouren,0
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,FFD,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,-2
2024,Schuljahre 9 und 10,DSW,Baumtouren,6
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,JZT,Baumtouren,-2
2024,Schuljahre 9 und 10,KHR,Baumtouren,6
2024,Schuljahre 9 und 10,DSW,Baumtouren,-2
